Client ID,Active memberships,Original price,Discount,Updated price,Entry date,,21.00%,14.75,85,Direct debit
289,Light ,70.00 €,Familiares directos (10.00%),63.00 €,03/14/2023,,21.00%,11.28,65,Direct debit
201,Fisio,30.00 €,Manual (0€),30.00 €,10/28/2022,,21.00%,10.93,63,Direct debit
297,Morning Fitness,70.00 €,"FCSE, FCS, FFCCS (10.00%)",63.00 €,03/23/2023,,21.00%,12.15,70,Direct debit
103,Fitness,120.00 €,"FCSE,FCS, FFCCS | Inicial (5.00%)",114.00 €,08/25/2022,,21.00%,19.96,115,Direct debit
104,Light ,70.00 €,"FCSE,FCS, FFCCS (10.00%)",63.00 €,08/25/2022,,21.00%,10.93,63,Direct debit
213,Light ,70.00 €,Familiares directos (10.00%),63.00 €,11/15/2022,,21.00%,14.75,85,Direct debit
29,Vitamin ,85.00 €,Familiares directos (10.00%),76.50 €,05/05/2022,,21.00%,12.15,70,Direct debit
167,Light ,70.00 €,Familiares directos (10.00%),63.00 €,10/03/2022,,21.00%,19.96,115,Direct debit
105,Full Open Fitness,120.00 €,Familiares directos (10.00%) ,108.00 €,08/26/2022,,21.00%,16.32,94.05,Direct debit
136,Light Light ,70.00 €,Familiares directos (+3) (10.00%),63.00 €,09/12/2022,,21.00%,12.15,70,Direct debit
39,Light ,70.00 €,Familiares directos (+3) (10.00%),63.00 €,05/18/2022,,21.00%,14.75,85,Direct debit
63,Vitamin ,85.00 €,Familiares directos (10.00%),76.50 €,06/28/2022,,21.00%,14.75,85,Direct debit
236,Fisio,30.00 €,Manual (0€),30.00 €,12/31/2022,,21.00%,11.28,65,Direct debit
37,Healthy Fitness Open Box ,85.00 €,Familiares directos (+3) (10.00%),76.50 €,05/12/2022,,21.00%,16.49,95,Direct debit
101,Vitamin Healthy,100.00 €,Familiares directos (10.00%),90.00 €,08/24/2022,,21.00%,14.84,85.5,Direct debit
298,Morning Fitness,70.00 €,", FCS, FFCCS (10.00%)",63.00 €,03/23/2023,,21.00%,14.75,85,Direct debit
50,Open Box ,85.00 €,"FCSE, FCS, FFCCS | Inicial (5.00%)",80.75 €,05/29/2022,,21.00%,11.28,65,Direct debit
8,Vitamin ,85.00 €,Familiares directos (10.00%),76.50 €,04/24/2022,,21.00%,14.75,85,Direct debit
150,Bonus,140.00 €,Familiares directos (10.00%),126.00 €,09/19/2022,,21.00%,17.18,99,Direct debit
79,Morning Light | Descuento,55.00 €,Familiares directos (10.00%),49.50 €,07/14/2022,,21.00%,12.15,70,Direct debit
173,Fitness,120.00 €,Familiares directos (10.00%),108.00 €,10/04/2022,,21.00%,19.96,115,Direct debit
241,Vitamin ,85.00 €,Familiares directos (10.00%),76.50 €,01/08/2023,,21.00%,16.32,94.05,Direct debit
242,Light ,70.00 €,Familiares directos (10.00%),63.00 €,01/09/2023,,21.00%,16.49,95,Direct debit
15,Vitamin ,85.00 €,Manual (3€),82.00 €,04/26/2022,,21.00%,14.75,85,Direct debit
240,Vitamin ,85.00 €,Familiares directos (10.00%),76.50 €,01/08/2023,,21.00%,14.75,85,Direct debit
157,Light ,70.00 €,Manual (61.33€),8.67 €,09/27/2022,,21.00%,14.75,85,Direct debit
22,Bonus,140.00 €,Familiares directos | Inicial (15.00%),119.00 €,04/28/2022,,,,,
67,Vitamin ,85.00 €,Manual (3€),82.00 €,06/16/2022,,21.00%,11.28,65,Direct debit
14,Vitamin ,85.00 €,Manual (3€),82.00 €,04/26/2022,,21.00%,12.15,70,Direct debit
292,Morning fitness Trimestral,175.50 €,"FCSE, FCS, FFCCS (10.00%)",157.95 €,03/20/2023,,21.00%,16.49,95,Direct debit
329,Vitamin ,85.00 €,Familiares directos (10.00%),76.50 €,04/05/2023,,21.00%,19.96,115,Direct debit
9,Promocion verano Healthy 3x2 Fitness,120.00 €,Familiares directos (10.00%),108.00 €,04/25/2022,,21.00%,17.18,99,Direct debit
168,Vitamin Light ,70.00 €,Familiares directos (10.00%),63.00 €,10/03/2022,,21.00%,12.15,70,Direct debit
286,Light ,70.00 €,PARTNER (5.00%),66.50 €,03/10/2023,,21.00%,12.15,70,Direct debit
223,Healthy  Descuento Trimestral Healthy  Descuento Trimestral,273.00 €,Familiares directos (10.00%),245.70 €,12/01/2022,,21.00%,11.28,65,Direct debit
21,Full Fitness,130.00 €,Familiares directos (10.00%),117.00 €,04/28/2022,,21.00%,11.28,65,Direct debit
113,Open Box ,85.00 €,Manual (6€),79.00 €,08/31/2022,,21.00%,16.49,95,Direct debit
106,Full Open Fitness,120.00 €,Familiares directos (10.00%),108.00 €,08/26/2022,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,17.18,99,Direct debit
,,,,,,,21.00%,17.18,99,Direct debit
,,,,,,,21.00%,17.18,99,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,20.31,117,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,17.18,99,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,17.96,103.5,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,13.28,76.5,Direct debit
,,,,,,,21.00%,13.28,76.5,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,13.28,76.5,Direct debit
,,,,,,,21.00%,17.18,99,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,16.32,94.05,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,13.71,79,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,16.49,95,Direct debit
,,,,,,,21.00%,19.96,115,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,13.28,76.5,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,38.42,221.4,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,,,,
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,14.75,85,Pay with RedSys POS
,,,,,,,21.00%,11.28,65,Pay with RedSys POS
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Card payment
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,38.42,221.4,Cash payment
,,,,,,,20.00%,5.83,35,Card payment
,,,,,,,21.00%,11.28,65,Card payment
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,11.28,65,Pay with RedSys POS
,,,,,,,21.00%,19.96,115,Card payment
,,,,,,,21.00%,19.96,115,Card payment
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,30.46,175.5,Card payment
,,,,,,,21.00%,16.49,95,Cash payment
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,11.28,65,Pay with RedSys POS
,,,,,,,21.00%,8.3,47.81,Card payment
,,,,,,,21.00%,19.96,115,Card payment
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,14.75,85,Card payment
,,,,,,,21.00%,14.75,85,Card payment
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,12.15,70,Card payment
,,,,,,,21.00%,10.47,60.32,Card payment
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,6.66,38.39,Card payment
,,,,,,,21.00%,3.92,22.58,Card payment
,,,,,,,21.00%,10.3,59.35,Direct debit
,,,,,,,21.00%,7.61,43.87,Card payment
,,,,,,,21.00%,6.27,36.13,Card payment
,,,,,,,21.00%,12.15,70,Cash payment
,,,,,,,21.00%,19.96,115,Card payment
,,,,,,,21.00%,6.94,40,Direct debit
,,,,,,,21.00%,19.09,110,Card payment
,,,,,,,21.00%,11.28,65,Direct debit
,,,,,,,21.00%,8.68,50,Card payment
,,,,,,,21.00%,11.28,65,Cash payment
,,,,,,,,,,
,,,,,,,21.00%,30.46,175.5,Card payment
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,10.93,63,Direct debit
,,,,,,,21.00%,14.75,85,Direct debit
,,,,,,,,,,
,,,,,,,21.00%,12.15,70,Direct debit
,,,,,,,21.00%,17.18,99,Direct debit
