Client ID,Issued on,Paid on,Concept,Sale type,Membership,Subtotal (Excluding taxes),% Taxes,VAT Charged €,Total €,Method of payment
352,05/01/2023,05/01/2023,Vitamin 5/2023 - 5/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
354,05/01/2023,05/01/2023,Vitamin 5/2023 - 5/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
316,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
289,05/01/2023,05/01/2023,Light  05/2023 (Familiares directos),Memberships,Light,52.07,21.00%,10.93,63,Direct debit
302,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
213,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
167,05/01/2023,05/01/2023,Light  05/2023 (Familiares directos),Memberships,Light,52.07,21.00%,10.93,63,Direct debit
184,05/01/2023,05/01/2023,Open Box  05/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
175,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
125,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
105,05/01/2023,05/01/2023,Full Open  05/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
128,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
340,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
163,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
300,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
65,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
101,05/01/2023,05/01/2023,Healthy 05/2023 (Familiares directos),Memberships,Healthy,70.66,21.00%,14.84,85.5,Direct debit
323,05/01/2023,05/01/2023,Open Box  05/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
203,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
236,05/01/2023,05/01/2023,Open Box  05/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
238,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
314,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
252,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
91,05/01/2023,05/01/2023,Full Open  05/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
131,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
254,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
115,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
89,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
,05/01/2023,05/01/2023,Morning Fitness 05/2023 (FCSE,,,,,,,
201,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
145,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
117,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
271,05/01/2023,05/01/2023,Fitness 05/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
103,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
208,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
294,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
259,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
349,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
301,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
247,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
347,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
147,05/01/2023,05/01/2023,Healthy 5/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
164,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
37,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
85,05/01/2023,05/01/2023,Full Open  05/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
305,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
21,05/01/2023,05/01/2023,Full Fitness 05/2023 (Familiares directos),Memberships,Full Fitness,96.69,21.00%,20.31,117,Direct debit
63,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
183,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
304,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
234,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
315,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
205,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
312,05/01/2023,05/01/2023,Healthy 05/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
320,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
148,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
88,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
319,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
64,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
231,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
246,05/01/2023,05/01/2023,Vitamin  05/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
157,05/01/2023,05/01/2023,Light  05/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
8,05/01/2023,05/01/2023,Morning Fitness 05/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
